Dat,Open,High,Low,Close,AdjClose,Volume
2015-08-07,180.46112060546875,225.37294006347656,160.691650390625,176.6649932861328,176.6649932861328,10472555
2015-08-08,178.04409790039062,178.3659210205078,45.54885482788086,48.0088005065918,48.0088005065918,42965461
2015-08-09,45.00148010253906,56.06958770751953,40.09783935546875,44.74242401123047,44.74242401123047,33923176
2015-08-10,45.51322937011719,46.52819061279297,40.57662582397461,45.224273681640625,45.224273681640625,25871524
2015-08-11,45.20123291015625,72.80996704101562,42.533260345458984,68.68838500976562,68.68838500976562,94111566
2015-08-12,68.10240173339844,83.64590454101562,57.14292907714844,78.88609313964844,78.88609313964844,139353078
2015-08-13,79.19711303710938,128.10272216796875,76.0738754272461,119.2856216430664,119.2856216430664,265548503
2015-08-14,118.19241333007812,146.954345703125,114.26668548583984,119.02815246582031,119.02815246582031,301956438
2015-08-15,117.4014892578125,122.24304962158203,102.29985809326172,109.9786376953125,109.9786376953125,166336091
2015-08-16,109.6823501586914,110.39148712158203,70.966796875,101.93289184570312,101.93289184570312,231120921
2015-08-17,102.9196548461914,102.91412353515625,77.58500671386719,78.76459503173828,78.76459503173828,127139378
2015-08-18,79.52959442138672,87.11603546142578,71.14057159423828,71.14057159423828,71.14057159423828,97228396
2015-08-19,76.36821746826172,86.25413513183594,76.36821746826172,81.89073181152344,81.89073181152344,96682141
2015-08-20,81.3911361694336,100.30419921875,81.60957336425781,95.89117431640625,95.89117431640625,186147695
2015-08-21,96.71595001220703,102.68589782714844,89.3169937133789,92.12235260009766,92.12235260009766,133432119
2015-08-22,92.18836975097656,97.47820281982422,89.30907440185547,91.06200408935547,91.06200408935547,62611029
2015-08-23,90.78272247314453,93.0737533569336,85.68370819091797,89.30313110351562,89.30313110351562,104931625
2015-08-24,88.8409652709961,89.97591400146484,82.2542495727539,82.2542495727539,82.2542495727539,61788725
2015-08-25,82.07655334472656,82.12155151367188,74.5738525390625,75.5723648071289,75.5723648071289,86640543
2015-08-26,75.0818862915039,79.53755950927734,70.45242309570312,76.62155151367188,76.62155151367188,69802775
2015-08-27,77.27086639404297,78.42057800292969,75.04055786132812,75.80787658691406,75.80787658691406,45355398
2015-08-28,75.80523681640625,79.93069458007812,73.94078826904297,78.7978744506836,78.7978744506836,47744614
2015-08-29,78.94007110595703,79.84486389160156,76.02726745605469,78.21385192871094,78.21385192871094,24827434
2015-08-30,78.24295806884766,90.4788589477539,77.42414093017578,87.23673248291016,87.23673248291016,88452106
2015-08-31,87.37625122070312,92.64851379394531,79.5068588256836,90.115966796875,90.115966796875,96016919
2015-09-01,89.8001480102539,92.42473602294922,88.53836822509766,89.77339172363281,89.77339172363281,51731702
2015-09-02,89.77073669433594,90.00667572021484,83.75919342041016,85.72843933105469,85.72843933105469,58514610
2015-09-03,85.75491333007812,86.78710174560547,80.02486419677734,83.68511199951172,83.68511199951172,46508408
2015-09-04,83.68511199951172,86.21379852294922,82.25627136230469,84.97154235839844,84.97154235839844,31630114
2015-09-05,85.381591796875,89.49812316894531,84.75685119628906,89.26541900634766,89.26541900634766,29900693
